buy_date,buy_price,sell_date,sell_price,return_pct,highest,max_return_pct,sell_type,sell_reason,score,code,board,board_type,n_limit
2025-12-22 00:00:00,12.53,2025-12-24 00:00:00,15.16,20.99,15.16,20.99,take_profit,止盈: 20.99%,75,000551,深主板,main,4
2025-12-25 00:00:00,16.68,2025-12-26 00:00:00,16.97,1.74,18.35,10.01,trailing_stop,追踪止损: 从高点-7.52%,85,000551,深主板,main,4
2025-06-13 00:00:00,7.004,2025-06-18 00:00:00,7.614,8.71,8.484,21.13,trailing_stop,追踪止损: 从高点-10.25%,75,000554,深主板,main,2
2024-04-29 00:00:00,13.5531,2024-05-07 00:00:00,13.2639,-2.13,13.9022,2.58,peak_signal,见顶信号: RSI89.6+上影64.7%,75,000555,深主板,main,2
2025-10-30 00:00:00,18.4,2025-10-31 00:00:00,18.95,2.99,20.24,10.0,trailing_stop,追踪止损: 从高点-6.37%,75,000555,深主板,main,2
2024-12-11 00:00:00,3.58,2024-12-13 00:00:00,4.33,20.95,4.33,20.95,take_profit,止盈: 20.95%,72,000558,深主板,main,4
2025-09-15 00:00:00,8.65,2025-09-17 00:00:00,10.47,21.04,10.47,21.04,take_profit,止盈: 21.04%,72,000559,深主板,main,4
2025-09-29 00:00:00,12.98,2025-10-09 00:00:00,13.03,0.39,14.1,8.63,trailing_stop,追踪止损: 从高点-7.59%,74,000559,深主板,main,4
2025-09-29 00:00:00,12.98,2025-10-09 00:00:00,13.03,0.39,14.1,8.63,trailing_stop,追踪止损: 从高点-7.59%,74,000559,深主板,main,2
2024-04-26 00:00:00,1.73,2024-05-06 00:00:00,2.06,19.08,2.18,26.01,take_profit,止盈: 19.08%,68,000560,深主板,main,2
2024-05-10 00:00:00,2.2,2024-05-13 00:00:00,2.17,-1.36,2.27,3.18,peak_signal,见顶信号: RSI80.6+上影52.9%,61,000560,深主板,main,2
2025-05-22 00:00:00,8.7,2025-05-26 00:00:00,9.81,12.76,10.51,20.8,trailing_stop,追踪止损: 从高点-6.66%,73,000561,深主板,main,2
2024-11-05 00:00:00,2.16,2024-11-07 00:00:00,2.62,21.3,2.62,21.3,take_profit,止盈: 21.30%,70,000564,深主板,main,4
2024-11-13 00:00:00,3.31,2024-11-14 00:00:00,3.01,-9.06,3.36,1.51,stop_loss,止损: -9.06%,70,000564,深主板,main,4
2024-11-29 00:00:00,3.33,2024-12-03 00:00:00,3.6,8.11,3.97,19.22,trailing_stop,追踪止损: 从高点-9.32%,63,000564,深主板,main,4
2024-11-13 00:00:00,3.31,2024-11-14 00:00:00,3.01,-9.06,3.36,1.51,stop_loss,止损: -9.06%,70,000564,深主板,main,2
2024-11-29 00:00:00,3.33,2024-12-03 00:00:00,3.6,8.11,3.97,19.22,trailing_stop,追踪止损: 从高点-9.32%,63,000564,深主板,main,2
2024-11-29 00:00:00,3.33,2024-12-03 00:00:00,3.6,8.11,3.97,19.22,trailing_stop,追踪止损: 从高点-9.32%,63,000564,深主板,main,3
2025-04-25 00:00:00,5.66,2025-04-29 00:00:00,6.85,21.02,6.85,21.02,take_profit,止盈: 21.02%,75,000565,深主板,main,6
2025-05-27 00:00:00,11.72,2025-05-29 00:00:00,10.63,-9.3,12.39,5.72,stop_loss,止损: -9.30%,62,000565,深主板,main,6
2025-06-04 00:00:00,10.57,2025-06-05 00:00:00,9.83,-7.0,10.7,1.23,end_of_data,数据结束,71,000565,深主板,main,6
2025-05-27 00:00:00,11.72,2025-05-29 00:00:00,10.63,-9.3,12.39,5.72,stop_loss,止损: -9.30%,62,000565,深主板,main,3
2025-06-04 00:00:00,10.57,2025-06-06 00:00:00,9.67,-8.51,10.7,1.23,stop_loss,止损: -8.51%,71,000565,深主板,main,3
2024-10-23 00:00:00,4.52,2024-10-25 00:00:00,5.02,11.06,5.45,20.58,trailing_stop,追踪止损: 从高点-7.89%,63,000566,深主板,main,2
2024-11-06 00:00:00,5.87,2024-11-08 00:00:00,6.45,9.88,7.11,21.12,trailing_stop,追踪止损: 从高点-9.28%,74,000566,深主板,main,2
2024-11-06 00:00:00,5.87,2024-11-08 00:00:00,6.45,9.88,7.11,21.12,trailing_stop,追踪止损: 从高点-9.28%,74,000566,深主板,main,3
2025-11-14 00:00:00,6.77,2025-11-18 00:00:00,8.0,18.17,8.2,21.12,take_profit,止盈: 18.17%,85,000566,深主板,main,2
2025-12-19 00:00:00,7.24,2025-12-23 00:00:00,8.76,20.99,8.76,20.99,take_profit,止盈: 20.99%,56,000566,深主板,main,3
2024-09-24 00:00:00,5.01,2024-09-26 00:00:00,5.83,16.37,6.06,20.96,take_profit,止盈: 16.37%,75,000567,深主板,main,2
2026-04-30 00:00:00,6.67,2026-05-06 00:00:00,6.64,-0.45,6.74,1.05,peak_signal,见顶信号: RSI97.7+上影40.0%,75,000567,深主板,main,2
2024-10-29 00:00:00,4.39,2024-10-31 00:00:00,5.31,20.96,5.31,20.96,take_profit,止盈: 20.96%,63,000572,深主板,main,3
2025-10-16 00:00:00,7.14,2025-10-17 00:00:00,6.83,-4.34,7.75,8.54,peak_signal,见顶信号: RSI83.5+上影58.5%,63,000572,深主板,main,2
2024-11-21 00:00:00,3.22,2024-11-25 00:00:00,3.89,20.81,3.89,20.81,take_profit,止盈: 20.81%,67,000573,深主板,main,3
