code,name,source_a_count,source_b_count,merged_count,fix_from,price_mismatch,quality_issues
688283,坤恒顺维,1024,1024,1024,TDX+BaoStock,2,0
688285,高铁电气,1102,1102,1102,TDX+BaoStock,2,0
688286,敏芯股份,1292,1292,1292,TDX+BaoStock,0,0
688287,*ST观典,949,958,958,TDX+BaoStock,3,1
688288,鸿泉技术,1292,1292,1292,TDX+BaoStock,1,0
688289,圣湘生物,1292,1292,1292,TDX+BaoStock,9,0
688290,景业智能,973,973,973,TDX+BaoStock,1,0
688291,金橙子,846,855,855,TDX+BaoStock,1,0
688292,浩瀚深度,898,898,898,TDX+BaoStock,2,0
688293,奥浦迈,877,887,887,TDX+BaoStock,3,0
688295,中复神鹰,990,990,990,TDX+BaoStock,0,0
688296,和达科技,1156,1156,1156,TDX+BaoStock,2,0
688297,中无人机,934,934,934,TDX+BaoStock,0,0
688298,东方生物,1292,1292,1292,TDX+BaoStock,3,0
688123,聚辰股份,0,1292,1292,BaoStock,0,0
688125,安达智能,0,983,983,BaoStock,0,0
688126,沪硅产业,0,1292,1292,BaoStock,0,10
688127,蓝特光学,0,1292,1292,BaoStock,0,0
688128,中国电研,0,1292,1292,BaoStock,0,0
688129,东来技术,0,1292,1292,BaoStock,0,0
688130,晶华微,0,912,912,BaoStock,0,0
688131,皓元医药,0,1190,1190,BaoStock,0,10
688132,邦彦技术,0,873,873,BaoStock,0,6
688133,泰坦科技,0,1292,1292,BaoStock,0,0
688135,利扬芯片,0,1292,1292,BaoStock,0,0
688136,科兴制药,0,1292,1292,BaoStock,0,0
688137,近岸蛋白,0,869,869,BaoStock,0,0
688138,清溢光电,0,1292,1292,BaoStock,0,0
688139,海尔生物,0,1292,1292,BaoStock,0,10
688141,杰华特,0,813,813,BaoStock,0,0
688143,长盈通,0,822,822,BaoStock,0,9
688146,中船特气,0,735,735,BaoStock,0,0
688147,微导纳米,0,813,813,BaoStock,0,0
688148,芳源股份,0,1148,1148,BaoStock,0,0
688150,莱特光电,0,1001,1001,BaoStock,0,0
688151,华强科技,0,1069,1069,BaoStock,0,0
688152,麒麟信安,0,853,853,BaoStock,0,0
688153,唯捷创芯,0,986,986,BaoStock,0,0
688155,先惠技术,0,1292,1292,BaoStock,0,0
688156,路德科技,0,1292,1292,BaoStock,0,0
688157,松井股份,0,1292,1292,BaoStock,0,10
688158,优刻得,0,1292,1292,BaoStock,0,0
