code,board,bars,first_bar,last_bar,written,status,errors
000582,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000586,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000589,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000590,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000591,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000592,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000593,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000595,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000596,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000597,main_sz,64,2026-06-22 10:00,2026-06-26 09:45,64,ok,15m bar数异常: 2026-06-22 count=15 (期望16)
000598,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000599,main_sz,64,2026-06-22 10:00,2026-06-26 09:45,64,ok,15m bar数异常: 2026-06-22 count=15 (期望16)
000600,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000601,main_sz,64,2026-06-22 10:00,2026-06-26 09:45,64,ok,15m bar数异常: 2026-06-22 count=15 (期望16)
000603,main_sz,64,2026-06-22 10:00,2026-06-26 09:45,64,ok,15m bar数异常: 2026-06-22 count=15 (期望16)
000605,main_sz,64,2026-06-22 10:00,2026-06-26 09:45,64,ok,15m bar数异常: 2026-06-22 count=15 (期望16)
000607,main_sz,64,2026-06-22 10:00,2026-06-26 09:45,64,ok,15m bar数异常: 2026-06-22 count=15 (期望16)
000608,main_sz,64,2026-06-22 10:00,2026-06-26 09:45,64,ok,15m bar数异常: 2026-06-22 count=15 (期望16)
000609,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000610,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000612,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000615,main_sz,64,2026-06-22 10:00,2026-06-26 09:45,64,ok,15m bar数异常: 2026-06-22 count=15 (期望16)
000617,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000619,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000620,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000623,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000625,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000626,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000628,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000629,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000630,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000631,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000632,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000633,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000635,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000636,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
