sell_date,sell_price,return_pct,max_return_pct,sell_type,d0_vol_ratio,d0_upper_shadow,d1_gap,buy_date,code,board,board_type,n_limit
2024-08-09 00:00:00,6.66,16.23,18.67,take_profit,8.29,0.0,0.88,2024-07-31 00:00:00,000159,深主板,main,2
2024-12-18 00:00:00,6.93,-14.02,0.0,stop_loss,6.62,0.0,-4.5,2024-12-17 00:00:00,000159,深主板,main,2
2025-06-25 00:00:00,5.71,-10.64,7.51,stop_loss,2.51,0.0,-1.24,2025-06-20 00:00:00,000159,深主板,main,2
2026-05-21 00:00:00,6.8,0.15,8.98,trailing_stop,3.03,0.0,-1.45,2026-05-15 00:00:00,000159,深主板,main,2
2024-08-02 00:00:00,12.1618,-9.03,0.0,stop_loss,3.38,0.0,1.84,2024-07-29 00:00:00,000338,深主板,main,2
2025-10-10 00:00:00,27.9024,17.34,17.34,take_profit,13.21,0.0,0.33,2025-07-22 00:00:00,000400,深主板,main,2
2025-07-31 00:00:00,4.86,-8.3,5.85,stop_loss,3.98,0.0,0.95,2025-07-22 00:00:00,000401,深主板,main,2
2025-04-28 00:00:00,2.72,-9.03,3.01,stop_loss,2.24,0.0,-1.64,2025-04-21 00:00:00,000402,深主板,main,2
2026-04-15 00:00:00,2.88,3.6,15.83,trailing_stop,6.24,0.0,0.0,2026-04-13 00:00:00,000402,深主板,main,2
2025-04-23 00:00:00,22.0,-8.33,7.46,stop_loss,10.57,0.0,-0.41,2025-04-08 00:00:00,000403,深主板,main,2
2025-09-03 00:00:00,17.35,-8.2,1.22,stop_loss,2.72,0.0,1.5,2025-06-13 00:00:00,000403,深主板,main,2
2026-04-24 00:00:00,8.97,15.0,15.26,take_profit,3.71,0.0,0.13,2026-04-21 00:00:00,000404,深主板,main,2
2025-09-05 00:00:00,3.7291,-8.11,0.0,stop_loss,4.86,0.0,0.0,2025-09-03 00:00:00,000407,深主板,main,2
2026-01-14 00:00:00,5.1151,0.99,8.27,trailing_stop,2.42,0.0,-0.2,2025-12-23 00:00:00,000407,深主板,main,2
2024-08-12 00:00:00,6.37,2.08,8.81,trailing_stop,3.21,0.0,-0.16,2024-07-23 00:00:00,000410,深主板,main,2
2024-11-15 00:00:00,7.63,-8.84,8.84,stop_loss,2.48,0.0,1.82,2024-10-29 00:00:00,000410,深主板,main,2
2025-11-12 00:00:00,8.82,15.14,19.45,take_profit,5.26,0.0,-2.17,2025-10-23 00:00:00,000410,深主板,main,2
2024-04-16 00:00:00,9.74,-9.9,3.24,stop_loss,5.13,0.0,-0.73,2024-03-11 00:00:00,000411,深主板,main,2
2025-12-05 00:00:00,12.57,0.56,7.52,trailing_stop,3.53,0.0,1.13,2025-11-27 00:00:00,000411,深主板,main,2
2024-04-12 00:00:00,2.23,0.45,9.91,trailing_stop,3.61,0.0,-1.77,2024-03-29 00:00:00,000415,深主板,main,2
